AG.LND.AGRI.K2	Agricultural land (sq. km)
AG.LND.AGRI.ZS	Agricultural land (% of land area)
AG.LND.ARBL.ZS	Arable land (% of land area)
AG.LND.EL5M.RU.K2	Rural land area where elevation is below 5 meters (sq. km)
AG.LND.EL5M.RU.ZS	Rural land area where elevation is below 5 meters (% of total land area)
AG.LND.EL5M.UR.K2	Urban land area where elevation is below 5 meters (sq. km)
AG.LND.EL5M.UR.ZS	Urban land area where elevation is below 5 meters (% of total land area)
AG.LND.EL5M.ZS	Land area where elevation is below 5 meters (% of total land area)
AG.LND.FRST.K2	Forest area (sq. km)
AG.LND.FRST.ZS	Forest area (% of land area)
AG.LND.IRIG.AG.ZS	Agricultural irrigated land (% of total agricultural land)
AG.LND.PRCP.MM	Average precipitation in depth (mm per year)
AG.LND.TOTL.K2	Land area (sq. km)
AG.LND.TOTL.RU.K2	Rural land area (sq. km)
AG.LND.TOTL.UR.K2	Urban land area (sq. km)
AG.SRF.TOTL.K2	Surface area (sq. km)
AG.YLD.CREL.KG	Cereal yield (kg per hectare)
BG.GSR.NFSV.GD.ZS	Trade in services (% of GDP)
BM.GSR.CMCP.ZS	Communications, computer, etc. (% of service imports, BoP)
BM.GSR.GNFS.CD	Imports of goods and services (BoP, current US$)
BM.GSR.INSF.ZS	Insurance and financial services (% of service imports, BoP)
BM.GSR.MRCH.CD	Goods imports (BoP, current US$)
BM.GSR.NFSV.CD	Service imports (BoP, current US$)
BM.GSR.ROYL.CD	Charges for the use of intellectual property, payments (BoP, current US$)
BM.GSR.TOTL.CD	Imports of goods, services and primary income (BoP, current US$)
BM.GSR.TRAN.ZS	Transport services (% of service imports, BoP)
BM.GSR.TRVL.ZS	Travel services (% of service imports, BoP)
BM.KLT.DINV.CD.WD	Foreign direct investment, net outflows (BoP, current US$)
BM.KLT.DINV.WD.GD.ZS	Foreign direct investment, net outflows (% of GDP)
BM.TRF.PWKR.CD.DT	Personal remittances, paid (current US$)
BN.CAB.XOKA.CD	Current account balance (BoP, current US$)
BN.GSR.GNFS.CD	Net trade in goods and services (BoP, current US$)
BN.GSR.MRCH.CD	Net trade in goods (BoP, current US$)
BN.KLT.DINV.CD	Foreign direct investment, net (BoP, current US$)
BN.KLT.PTXL.CD	Portfolio Investment, net (BoP, current US$)
BX.GRT.EXTA.CD.WD	Grants, excluding technical cooperation (BoP, current US$)
BX.GRT.TECH.CD.WD	Technical cooperation grants (BoP, current US$)
BX.GSR.CCIS.CD	ICT service exports (BoP, current US$)
BX.GSR.CCIS.ZS	ICT service exports (% of service exports, BoP)
BX.GSR.CMCP.ZS	Communications, computer, etc. (% of service exports, BoP)
BX.GSR.GNFS.CD	Exports of goods and services (BoP, current US$)
BX.GSR.INSF.ZS	Insurance and financial services (% of service exports, BoP)
BX.GSR.MRCH.CD	Goods exports (BoP, current US$)
BX.GSR.NFSV.CD	Service exports (BoP, current US$)
BX.GSR.ROYL.CD	Charges for the use of intellectual property, receipts (BoP, current US$)
BX.GSR.TOTL.CD	Exports of goods, services and primary income (BoP, current US$)
BX.GSR.TRAN.ZS	Transport services (% of service exports, BoP)
BX.GSR.TRVL.ZS	Travel services (% of service exports, BoP)
BX.KLT.DINV.CD.WD	Foreign direct investment, net inflows (BoP, current US$)
BX.KLT.DINV.WD.GD.ZS	Foreign direct investment, net inflows (% of GDP)
BX.KLT.DREM.CD.DT	Primary income on FDI, payments (current US$)
BX.PEF.TOTL.CD.WD	Portfolio equity, net inflows (BoP, current US$)
BX.TRF.PWKR.CD	Personal transfers, receipts (BoP, current US$)
BX.TRF.PWKR.CD.DT	Personal remittances, received (current US$)
BX.TRF.PWKR.DT.GD.ZS	Personal remittances, received (% of GDP)
DT.DIS.IDAG.CD	IDA grants (current US$)
DT.DOD.DECT.CD	External debt stocks, total (DOD, current US$)
DT.DOD.DECT.EX.ZS	External debt stocks (% of exports of goods, services and primary income)
DT.DOD.DECT.GN.ZS	External debt stocks (% of GNI)
DT.DOD.DSTC.IR.ZS	Short-term debt (% of total reserves)
DT.DOD.DSTC.XP.ZS	Short-term debt (% of exports of goods, services and primary income)
DT.DOD.MDRI.CD	Debt forgiveness grants (current US$)
DT.DOD.PVLX.CD	Present value of external debt (current US$)
DT.DOD.PVLX.EX.ZS	Present value of external debt (% of exports of goods, services and primary income)
DT.DOD.PVLX.GN.ZS	Present value of external debt (% of GNI)
DT.INT.DECT.EX.ZS	Interest payments on external debt (% of exports of goods, services and primary income)
DT.INT.DECT.GN.ZS	Interest payments on external debt (% of GNI)
DT.NFL.BOND.CD	Portfolio investment, bonds (PPG + PNG) (NFL, current US$)
DT.ODA.ODAT.CD	Net official development assistance received (current US$)
DT.ODA.ODAT.GN.ZS	Net ODA received (% of GNI)
DT.ODA.ODAT.PC.ZS	Net ODA received per capita (current US$)
DT.TDS.DECT.EX.ZS	Total debt service (% of exports of goods, services and primary income)
DT.TDS.DECT.GN.ZS	Total debt service (% of GNI)
EG.EGY.PRIM.PP.KD	Energy intensity level of primary energy (MJ/$2011 PPP GDP)
EG.ELC.ACCS.RU.ZS	Access to electricity, rural (% of rural population)
