indicatorcode#indicatorname#topiccode1#topicname1#topiccode2#topicname2#topiccode3#topicname3#topiccode4#topicname4#topiccode5#topicname5
IN.HLTH.GOVHOSPTL.PER100K#Government Hospitals (Number) Per 100,000 Population###########7687#0# _api_read ,   page(7687)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.HLTH.HIVDEATH.EST#HIV AIDS Related Death Estimates###########7688#0# _api_read ,   page(7688)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.HLTH.HIVINFECTION.EST#HIV Infection Estimates###########7689#0# _api_read ,   page(7689)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.HLTH.HLTHSTAFF.NUM#Health visitors and Health supervisors###########7690#0# _api_read ,   page(7690)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.HLTH.MALARIA.CASES#Malaria - Cases###########7691#0# _api_read ,   page(7691)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.HLTH.MALARIA.DEATH#Malaria - Deaths###########7692#0# _api_read ,   page(7692)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.HLTH.SUBCTR.NUM#Number of Sub-Centers (SCs)###########7693#0# _api_read ,   page(7693)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.ELEC.KM#Electrified Route Kilometres###########7694#0# _api_read ,   page(7694)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.FRGT.LEAD#Freight Traffic (revenue earning) - Lead (Average no. of KMs per tonne)###########7695#0# _api_read ,   page(7695)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.FRGT.RATE#Average Freight Rate per Tonne-KM (in Paise, for all commodities)###########7696#0# _api_read ,   page(7696)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.FRGT.RVENU.NET.TON.KM#Freight Traffic (revenue earning) -Net Tonne Kilometers (millions)###########7697#0# _api_read ,   page(7697)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.FRGT.SPEED#Speed of Freight Trains (KMs hour)###########7698#0# _api_read ,   page(7698)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.FRGT.TONS.ORIG#Freight Traffic - Tonnes originating (Millions)###########7699#0# _api_read ,   page(7699)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.LOCO.NO.#Locomotives - Number in service###########7700#0# _api_read ,   page(7700)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.LOCO.TRACT.KG3#Locomotives -Total tractive effort ('000  Kgs)###########7701#0# _api_read ,   page(7701)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.PASG.KM.NONSUB#Passenger-Kilometers Traffic (Non-Suburban), in millions###########7702#0# _api_read ,   page(7702)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.PASG.KM.SUB#Passenger-Kilometers Traffic (Suburban), in millions###########7703#0# _api_read ,   page(7703)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.PASG.KM.TOTL#Total Passenger-Kilometers Traffic, in millions###########7704#0# _api_read ,   page(7704)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.RUN.KM#Running Track Kilometres###########7705#0# _api_read ,   page(7705)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.TOTL.KM#Total Route Kilometers###########7706#0# _api_read ,   page(7706)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.TRKDENSITY.NTKM#Net tonnes Kms. per Route Km. per Annum (' 000s)###########7707#0# _api_read ,   page(7707)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.TRKDENSITY.TRAIN#Train Kms. per Running Track Km. per Day###########7708#0# _api_read ,   page(7708)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.WAGN.LEAD#Wagon Usage: Avergae Wagon Lead during run (in Tonnes)###########7709#0# _api_read ,   page(7709)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.WAGN.NTKM.PER.WAGNDAY#Wagon Usage: Net Tonne-KMs Weagon Day###########7710#0# _api_read ,   page(7710)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.WAGN.USAGE#Wagon Usage (KMs Wagon Day)###########7711#0# _api_read ,   page(7711)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRS.WAGON.NO#Number of wagons in service (All Gauges)###########7712#0# _api_read ,   page(7712)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.IS.RRSTRKDENSITY.PASG#Passenger Kms. per Route Km. per Annum 000s###########7713#0# _api_read ,   page(7713)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.LABR.LABR.MYS#Labor Force ages 15+ Rural and Urban: Mean Years of Schooling###########7714#0# _api_read ,   page(7714)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.LABR.LFPR.TOTL#LFPR per 1000 for ages 15+ Rural and Urban: Level All Levels###########7715#0# _api_read ,   page(7715)    per_page(1)     list parameter( indicator?id name topic?id )   
IN.LABR.LFPR.TOTL.DIPL#LFPR per 1000 for ages 15+ Rural and Urban: Level Diploma Cert###########7716#0# _api_read ,   page(7716)    per_page(1)     list parameter( indicator?id name topic?id )   
